53926822,1469459530,-35.9525277777778,134.392416666667,85.0,0,1,20,0,41,0,0,0
53926826,1469460730,37.2350833333333,116.906944444444,87.0,0,1,19,2,27,0,0,0
53926828,1469461330,72.7327777777778,92.6919722222222,62.0,0,1,28,0,32,0,0,0
53926830,1469461930,66.6097777777778,-41.9145277777778,98.0,0,1,437,0,1170,0,0,1
53926834,1469463145,-6.86166666666667,-67.7740833333333,82.0,0.1.3,3,1199,151,350,11,2,33
53926836,1469463742,-43.1075277777778,-77.1295833333333,71.0,0.1.3,3,283,1,482,0,0,0
53926838,1469464344,-77.5320277777778,-113.232305555556,83.0,0.1.3,3,141,1,1041,1,0,0
53926840,1469464930,-62.1005277777778,121.854638888889,51.0,0,1,30,0,38,0,0,0
53926846,1469466730,47.1464444444444,89.2189444444444,78.0,0,1,17,1,46,0,0,0
53926848,1469467330,80.2579444444445,37.2729722222222,79.0,0,1,26,1,18,0,0,0
53926850,1469467944,56.1753611111111,-74.1343888888889,84.0,0.1.3,3,19715,515,8590,107,12,2020
53926854,1469469130,-15.9018888888889,-94.0892222222222,51.0,0,1,18,1,16,0,0,0
53926856,1469469730,-52.1975833333333,-105.0785,92.0,0,1,39,1,417,0,0,0
53926858,1469470330,-81.6683055555556,174.169916666667,85.0,0,1,18,0,83,0,0,0
53926860,1469470945,-51.5225833333333,91.3571111111111,79.0,0.1.3,3,8782,93,4910,7,2,143
53926866,1469472730,56.9672777777778,60.2890277777778,98.0,0,1,254,1,320,0,1,1
53926868,1469473330,80.2723055555556,-50.5267222222222,57.0,0,1,28,1,20,0,0,0
53926870,1469473930,47.2017777777778,-102.596305555556,70.0,0,1,97,0,116,0,0,0
53926876,1469475745,-62.74875,-135.773805555556,83.0,0.1.3,3,17475,564,8458,186,30,2803
53926878,1469476330,-77.0727222222222,97.9459444444445,65.0,0,1,33,1,20,0,0,0
53926880,1469476930,-42.5953611111111,63.5436388888889,75.0,0,1,27,1,49,0,0,0
53926884,1469478130,30.5513055555556,45.8488055555556,75.0,0,1,14,0,9,0,0,0
53926886,1469478743,67.3241111111111,27.7372222222222,84.0,0.1.3,3,300,1,331,0,0,0
53926888,1469479330,72.7602777777778,-106.035222222222,70.0,0,1,29,0,36,0,0,0
53926890,1469479930,37.3053888888889,-130.285722222222,87.0,0,1,19,0,34,1,0,0
53926894,1469481130,-35.7494444444444,-147.742,95.0,0,1,17,0,34,0,0,0
53926896,1469481730,-71.1960277777778,-169.660972222222,55.0,0,1,31,0,46,0,0,1
53926898,1469482330,-68.4285833333333,55.0490833333333,88.0,0,1,80,0,888,0,0,0
53926900,1469482930,-32.6987777777778,36.2040555555556,92.0,0,1,20,0,84,0,0,0
53926906,1469484730,75.5414722222222,-11.2931388888889,70.0,0,1,29,1,20,0,0,0
53926908,1469485345,62.6176944444445,-142.828944444444,82.0,0.1.3,3,19434,636,9087,226,20,3074
53926914,1469487130,-45.6133888888889,-175.291166666667,63.0,0,1,27,0,42,0,0,0
53926916,1469487730,-79.2146388888889,140.576444444444,76.0,0,1,25,0,34,0,0,0
53926918,1469488345,-58.0608611111111,21.8363333333333,80.0,0.1.3,3,11075,102,4812,25,2,347
53926920,1469488943,-21.9692222222222,9.14608333333333,65.0,0.1.3,3,444,10,258,0,2,1
53926924,1469490130,50.38425,-9.37516666666667,74.0,0,1,32,0,17,0,0,0
53926926,1469490730,81.4888055555556,-79.78025,72.0,0,1,21,1,23,0,0,0
53926928,1469491330,53.8053611111111,-172.641222222222,77.0,0,1,26,0,53,0,0,0
53926934,1469493143,-56.1650555555556,155.644166666667,49.0,0.1.3,3,161,1,246,0,0,0
53926936,1469493730,-81.0903888888889,54.8951388888889,57.0,0,1,27,0,30,0,0,1
53926938,1469494330,-49.2066666666667,-6.91355555555556,96.0,0,1,327,56,1102,0,11,1
53926940,1469494945,-11.8826944444444,-17.4794166666667,59.0,0.1.3,3,145,10,107,0,0,1
53926944,1469496143,60.9243888888889,-39.505,61.0,0.1.3,3,237,2,206,0,0,0
53926946,1469496730,78.2198888888889,-162.081888888889,55.0,0,1,33,0,59,0,0,1
53926952,1469498530,-29.0945833333333,141.145666666667,87.0,0,1,26,1,27,0,0,0
53926954,1469499130,-64.9898611111111,125.02675,76.0,0,1,29,0,21,0,0,0
53926956,1469499745,-73.6319166666667,-9.3375,83.0,0.1.3,3,8302,270,4475,62,11,1269
53926958,1469500345,-38.4451666666667,-35.0661666666667,83.0,0.1.3,3,15062,1176,11025,115,62,838
53926960,1469500943,-2.02566666666667,-43.9363611111111,62.0,0.1.3,3,98,10,37,0,1,2
53926962,1469501530,33.8201666666667,-52.3085,97.0,0,1,20,0,18,0,0,0
53926966,1469502745,68.9581666666667,150.632833333333,83.0,0.1.3,3,19016,629,9275,182,29,3046
53926972,1469504530,-38.9921111111111,114.015083333333,97.0,0,1,153,1,222,0,0,0
53926974,1469505130,-74.0731944444444,87.4501944444445,85.0,0,1,25,0,23,0,0,0
53926976,1469505744,-64.5550833333333,-46.3099166666667,53.0,0.1.3,3,94,1,187,0,0,2
53926978,1469506345,-28.5285,-62.1725555555556,83.0,0.1.3,3,13515,958,12497,374,16,2376
53926982,1469507530,43.7502777777778,-79.7331944444445,98.0,0,1,6174,83,2989,8,1,160
53926984,1469508130,78.0911666666667,-118.14925,75.0,0,1,21,0,21,0,0,0
53926986,1469508730,60.3420555555556,118.227472222222,72.0,0,1,27,1,54,0,0,0
53926992,1469510545,-49.7335,85.8095555555556,82.0,0.1.3,3,16856,418,7959,85,9,1629
53926994,1469511130,-80.9381388888889,26.6745,79.0,0,1,31,0,36,0,0,0
53926996,1469511730,-55.7689722222222,-76.7441111111111,98.0,0,1,96,0,567,0,0,0
53926998,1469512345,-18.5785,-88.9133611111111,73.0,0.1.3,3,123,19,35,0,0,6
53927002,1469513545,54.5095555555556,-108.584527777778,68.0,0.1.3,3,7013,100,3469,15,4,181
53927004,1469514130,81.5238333333333,160.123666666667,52.0,0,1,33,1,12,0,0,0
53927006,1469514730,50.5851111111111,88.5929166666667,72.0,0,1,28,1,15,0,0,0
53927008,1469515330,14.13875,77.9437222222222,98.0,0,1,16,0,11,0,1,0
53927010,1469515930,-22.4254444444444,69.8656111111111,88.0,0,1,13,0,10,0,0,0
53927012,1469516545,-59.4547222222222,56.4003333333333,81.0,0.1.3,3,6021,65,3752,0,1,54
53927014,1469517145,-78.8818333333333,-63.5622222222222,83.0,0.1.3,3,17500,456,8288,120,19,1900
53927020,1469518930,27.1295,-123.470861111111,94.0,0,1,12,0,23,0,0,0
53927022,1469519543,64.0757222222222,-139.253916666667,49.0,0.1.3,3,39,0,70,0,0,0
53927024,1469520130,75.69025,90.8670833333333,97.0,0,1,671,4,542,0,0,2
53927026,1469520730,40.7120555555556,60.5718888888889,98.0,0,1,13,0,16,0,0,0
53927030,1469521930,-32.3463611111111,43.01275,85.0,0,1,19,0,22,0,0,0
53927032,1469522545,-68.9056388888889,23.4628611111111,82.0,0.1.3,3,5620,34,2937,5,1,41
53927034,1469523145,-70.7306666666667,-111.965111111111,82.0,0.1.3,3,15026,408,7680,109,15,1742
53927040,1469524930,37.0855277777778,-150.519333333333,86.0,0,1,20,2,26,0,0,0
53927042,1469525530,72.5995,-174.520027777778,59.0,0,1,33,1,18,0,0,1
53927044,1469526145,65.8881944444445,49.8711111111111,83.0,0.1.3,3,10452,177,5007,10,3,271
53927050,1469527944,-43.07325,15.4106111111111,59.0,0.1.3,3,94,12,153,0,0,1
53927052,1469528545,-77.4608333333333,-20.4013333333333,81.0,0.1.3,3,3911,25,2148,0,0,15
53927054,1469529145,-61.3700833333333,-146.164611111111,68.0,0.1.3,3,2591,12,1466,1,0,15
53927060,1469530930,46.9979166666667,-178.194555555556,85.0,0,1,20,0,62,0,0,0
53927062,1469531530,80.1781388888889,130.578888888889,73.0,0,1,27,0,19,0,0,0
53927064,1469532130,57.1590277777778,18.9523888888889,70.0,0,1,24,1,13,0,0,1
53927068,1469533330,-15.7460277777778,-1.5255,98.0,0,1,1794,34,747,0,1,3
53927070,1469533930,-52.0442222222222,-12.4788333333333,98.0,0,1,184,4,406,0,2,0
53927072,1469534530,-81.6645,-92.2091388888889,58.0,0,1,36,1,33,0,0,0
53927074,1469535130,-52.57075,-175.628166666667,85.0,0,1,76,3,108,0,0,0
53927076,1469535730,-16.2221666666667,173.283972222222,92.0,0,1,13,0,17,0,0,0
53927080,1469536930,56.8206944444445,152.901888888889,71.0,0,1,21,0,77,0,0,0
53927082,1469537530,80.3501944444444,42.7955833333333,77.0,0,1,39,0,16,0,0,0
53927084,1469538130,47.3531666666667,-10.0085,93.0,0,1,14,0,15,0,0,1
53927088,1469539345,-26.5948333333333,-28.4223055555556,83.0,0.1.3,3,21905,1123,11688,149,67,1287
53927090,1469539930,-61.7226666666667,-42.4511666666667,96.0,0,1,449,1,409,0,0,1
53927092,1469540530,-77.1914444444444,-169.05825,58.0,0,1,20,1,18,0,0,1
53927094,1469541130,-42.7468888888889,156.124083333333,90.0,0,1,24,0,34,0,0,0
53927098,1469542330,30.4015555555556,138.417472222222,92.0,0,1,21,0,8,0,0,0
53927100,1469542945,67.29775,120.295611111111,80.0,0.1.3,3,4432,33,3029,2,0,14
53927102,1469543530,72.8940277777778,-13.2410555555556,77.0,0,1,23,0,22,0,0,0
53927106,1469544745,0.0126666666666667,-46.7166666666667,82.0,0.1.3,3,602,52,65,2,0,8
53927108,1469545345,-36.5020555555556,-55.4353611111111,83.0,0.1.3,3,17588,1002,9505,109,57,867
53927110,1469545945,-71.876,-78.2895,83.0,0.1.3,3,10320,372,5929,141,23,2213
53927112,1469546530,-68.5716944444444,147.756194444444,65.0,0,1,33,0,50,0,0,0
53927114,1469547130,-32.8504444444444,128.774638888889,84.0,0,1,23,0,29,0,0,1
53927116,1469547730,3.7365,120.301583333333,46.0,0,1,8,0,8,0,0,0
53927118,1469548330,40.3464722222222,111.204472222222,96.0,0,1,13,1,20,0,0,0
53927120,1469548930,75.4171111111111,81.5970833333333,31.0,0,1,36,2,16,1,0,0
53927122,1469549543,62.8810555555556,-50.0897222222222,85.0,0.1.3,3,3406,23,2274,0,0,18
53927124,1469550130,27.5208611111111,-64.7733888888889,85.0,0,1,20,2,8,0,0,0
53927126,1469550745,-9.97325,-73.1866666666667,83.0,0.1.3,3,971,113,261,16,1,33
53927128,1469551330,-45.4591111111111,-82.7055833333333,55.0,0,1,27,0,120,0,0,0
53927130,1469551943,-79.6093333333333,-129.696694444444,40.0,0.1.3,3,28,0,618,0,0,1
53927132,1469552530,-59.0966666666667,115.012861111111,63.0,0,1,18,0,113,0,0,0
53927138,1469554330,50.2364444444445,83.2177777777778,67.0,0,1,32,0,33,0,0,1
53927140,1469554930,81.4563333333333,13.7648333333333,70.0,0,1,30,1,26,0,0,0
53927142,1469555545,53.0560555555556,-80.48,83.0,0.1.3,3,18512,625,8457,248,28,3473
53927148,1469557330,-55.2405,-111.326,64.0,0,1,17,0,130,0,0,0
61258787,1434913930,-24.5726944444444,-137.016083333333,224.0,0.1.3,3,1,0,226,0,0,0
61258789,1434915730,-43.6555555555556,47.4043055555556,223.0,0.1.3,3,1,0,224,0,0,0
61258791,1434917530,65.347,13.1568611111111,195.0,0.1.3,3,99,0,355,0,0,0
61258793,1434919330,2.12919444444444,-155.344472222222,222.0,0.1.3,3,3,0,222,0,0,0
61258795,1434921130,-69.4832777777778,39.9782222222222,197.0,0.1.3,3,45,0,3683,0,0,0
61258797,1434922930,39.2195833333333,2.45275,219.0,0.1.3,3,2,0,220,0,0,0
61258799,1434924730,28.8326666666667,-173.511666666667,225.0,0.1.3,3,0,0,225,0,0,0
61258801,1434926530,-78.3418055555556,128.901138888889,229.0,0.1.3,3,122,0,451,0,0,0
61258803,1434928330,12.5964444444444,-15.0346111111111,225.0,0.1.3,3,0,0,225,0,0,0
